prodcode,productname,ingredient,bnftext,routeofadministration,dmdcode,therapyevents,bnfchapter,emo,top_cs,tcal,oral_cs,aza,metho,cic,myco,potency,injection,new202007
5368,balneum plus bath additive (reckitt benckiser healthcare (uk) ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,9.84E+16,162057,13020101,1,,,,,,,,,,
19881,liquid paraffin light 37.8% / isopropyl myristate 13% bath additive,liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,3.49E+15,4226,13020101,1,,,,,,,,,,
75630,eucerin urearepair plus replenishing 5% body wash (beiersdorf uk ltd),,emollient bath additives and shower preparations,,3.56E+16,22,13020101,1,,,,,,,,,,
48439,skin salvation bath oil (purepotions skincare ltd),,emollient bath additives and shower preparations,cutaneous,1.97E+16,70,13020101,1,,,,,,,,,,
14630,balneum bath treatment (almirall ltd),soya oil,emollient bath additives and shower preparations,cutaneous,3.31E+15,3742,13020101,1,,,,,,,,,,
48595,aveeno bath oil (mawdsley-brooks & company ltd),,emollient bath additives and shower preparations,cutaneous,1.63E+16,37,13020101,1,,,,,,,,,,
58065,generic oilatum plus bath additive,triclosan/liquid paraffin light/benzalkonium chloride,emollient bath additives and shower preparations,cutaneous,3.55E+15,113,13020101,1,,,,,,,,,,
18018,emmolate bath additive (bio-medical services ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,topical,2.20E+17,98,13020101,1,,,,,,,,,,
37667,liquid paraffin 65% bath additive,liquid paraffin,emollient bath additives and shower preparations,cutaneous,1.32E+16,1618,13020101,1,,,,,,,,,,
70001,generic aveeno bath & shower oil,,emollient bath additives and shower preparations,,3.42E+16,7,13020101,1,,,,,,,,,,
36882,liquid paraffin light 85.09% bath oil,liquid paraffin light,emollient bath additives and shower preparations,cutaneous,1.18E+16,306,13020101,1,,,,,,,,,,
48737,aveeno baby bath additive colloidal powder 15g sachets (johnson & johnson ltd),,emollient bath additives and shower preparations,route of administration not applicable,3.33E+15,135,13020101,1,,,,,,,,,,
3916,aveeno colloidal bath additive (johnson and johnson medical ltd),,emollient bath additives and shower preparations,,1.33E+17,17961,13020101,1,,,,,,,,,,
11939,eucerin atocontrol bath & shower oil (beiersdorf uk ltd),,emollient bath additives and shower preparations,cutaneous,4.28E+15,13709,13020101,1,,,,,,,,,,
16403,ashbourne emollient medicinal bath oil (ashbourne pharmaceuticals ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,cutaneous,3.77E+15,5192,13020101,1,,,,,,,,,,
43858,soya oil 83.35% bath additive,soya oil,emollient bath additives and shower preparations,cutaneous,1.78E+16,472,13020101,1,,,,,,,,,,
35073,doublebase emollient shower gel (dermal laboratories ltd),isopropyl myristate/liquid paraffin,emollient bath additives and shower preparations,cutaneous,1.15E+16,137866,13020101,1,,,,,,,,,,
67083,balneum plus bath oil (waymade healthcare plc),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,1.11E+16,1,13020101,1,,,,,,,,,,
5592,dermol 200 shower emollient (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,4.21E+14,814282,13020101,1,,,,,,,,,,
9256,e45 bath additive (crookes healthcare ltd),liquid paraffin light/dimethicone,emollient bath additives and shower preparations,,1.92E+17,4057,13020101,1,,,,,,,,,,
4615,oilatum bath formula (glaxosmithkline consumer healthcare),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,3.25E+14,504804,13020101,1,,,,,,,,,,
2035,balneum plus bath additive (reckitt benckiser healthcare (uk) ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,9.84E+16,114877,13020101,1,,,,,,,,,,
17354,aveeno bath oil bath additive (bioglan laboratories ltd),,emollient bath additives and shower preparations,,2.11E+16,524,13020101,1,,,,,,,,,,
40330,doublebase emollient wash gel (dermal laboratories ltd),isopropyl myristate/liquid paraffin,emollient bath additives and shower preparations,cutaneous,1.54E+16,34683,13020101,1,,,,,,,,,,
72,oilatum emollient (glaxosmithkline consumer healthcare),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,1.59E+14,2806121,13020101,1,,,,,,,,,,
7295,liquid paraffin light 46% / isopropyl myristate 39% bath emollient,liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,3.49E+15,2057,13020101,1,,,,,,,,,,
39448,balneum plus bath oil (almirall ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,3.31E+15,88525,13020101,1,,,,,,,,,,
15625,savlon bath oil (novartis consumer health uk ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,topical,1.91E+17,281,13020101,1,,,,,,,,,,
47284,soya oil 83.45% / lauromacrogols 15% bath oil,lauromacrogols/soya oil,emollient bath additives and shower preparations,cutaneous,1.78E+16,4,13020101,1,,,,,,,,,,
4191,oilatum junior flare-up bath additive (stiefel laboratories (uk) ltd),triclosan/liquid paraffin light/benzalkonium chloride,emollient bath additives and shower preparations,cutaneous,1.54E+14,1103,13020101,1,,,,,,,,,,
60087,lpl 63.4 bath additive and emollient (huxley europe ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.27E+16,5318,13020101,1,,,,,,,,,,
11381,soya oil 84.75% bath oil,soya oil,emollient bath additives and shower preparations,cutaneous,331569003,32932,13020101,1,,,,,,,,,,
6927,cetraben emollient 82.8% bath additive (thornton & ross ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,8.09E+15,117997,13020101,1,,,,,,,,,,
6808,soya oil 82.95% / lauromacrogols 15% bath oil,soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,331568006,9505,13020101,1,,,,,,,,,,
48449,aveeno body wash (johnson & johnson ltd),,emollient bath additives and shower preparations,cutaneous,1.83E+16,89031,13020101,1,,,,,,,,,,
27408,hydromol bath & shower emollient (alliance pharmaceuticals ltd),liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,3.00E+15,191699,13020101,1,,,,,,,,,,
68557,generic aveeno body wash,,emollient bath additives and shower preparations,cutaneous,1.83E+16,81,13020101,1,,,,,,,,,,
963,balneum 84.75% bath oil (almirall ltd),soya oil,emollient bath additives and shower preparations,cutaneous,3.31E+15,897011,13020101,1,,,,,,,,,,
37679,qv bath oil bath additive (crawford healthcare ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.48E+17,330,13020101,1,,,,,,,,,,
45335,emollient bath additive,liquid paraffin,emollient bath additives and shower preparations,topical,2.41E+17,7,13020101,1,,,,,,,,,,
58715,generic dermol 200 shower emollient,benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,3.40E+15,149,13020101,1,,,,,,,,,,
27659,e45 150ml bath additive (crookes healthcare ltd),,emollient bath additives and shower preparations,,1.92E+17,83,13020101,1,,,,,,,,,,
11663,liquid paraffin light 63.4% bath additive,liquid paraffin light,emollient bath additives and shower preparations,cutaneous,3.49E+15,52743,13020101,1,,,,,,,,,,
56476,balneum plus bath oil (dowelhurst ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,5.52E+15,924,13020101,1,,,,,,,,,,
1461,diprobath bath emollient (merck sharp & dohme ltd),liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,3.05E+15,163111,13020101,1,,,,,,,,,,
39824,balneum plus bath treatment (almirall ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,3.31E+15,2155,13020101,1,,,,,,,,,,
46576,zerozole bath oil (thornton & ross ltd),lauromacrogols/soya oil,emollient bath additives and shower preparations,cutaneous,1.77E+16,2,13020101,1,,,,,,,,,,
2479,oilatum gel (glaxosmithkline consumer healthcare),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.94E+15,288514,13020101,1,,,,,,,,,,
12744,liquid paraffin with acetylated wool alcohols bath oil,liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,topical,1.61E+17,434,13020101,1,,,,,,,,,,
60969,isopropyl myristate 15% / liquid paraffin 15% gel (am distributions (yorkshire) ltd),isopropyl myristate/liquid paraffin,emollient bath additives and shower preparations,cutaneous,2.33E+16,1,13020101,1,,,,,,,,,,
11570,light liquid paraffin with benzalkonium chloride and triclosan 52.5% with 6% with 2% emollient bath additive,liquid paraffin light/benzalkonium chloride/triclosan,emollient bath additives and shower preparations,topical,1.97E+17,1250,13020101,1,,,,,,,,,,
5055,dermol 600 bath emollient (dermal laboratories ltd),isopropyl myristate/benzalkonium chloride/liquid paraffin,emollient bath additives and shower preparations,cutaneous,9.20E+14,368793,13020101,1,,,,,,,,,,
44164,qv 85.09% bath oil (crawford healthcare ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,1.18E+16,4647,13020101,1,,,,,,,,,,
45522,zeroneum 83.35% bath additive (thornton & ross ltd),soya oil,emollient bath additives and shower preparations,cutaneous,1.78E+16,1224,13020101,1,,,,,,,,,,
58750,generic aveeno bath oil,,emollient bath additives and shower preparations,cutaneous,3.39E+15,154,13020101,1,,,,,,,,,,
953,hydromol cream (ferndale pharmaceuticals ltd),liquid paraffin light/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,1.52E+17,79375,13020101,1,,,,,,,,,,
9285,liquid paraffin 65% / acetylated wool alcohols 5% bath oil,liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,cutaneous,3.78E+15,5001,13020101,1,,,,,,,,,,
9228,balneum plus bath additive (crookes healthcare ltd),soya oil/lauromacrogols,emollient bath additives and shower preparations,cutaneous,2.10E+17,424,13020101,1,,,,,,,,,,
13106,dermalo bath emollient (dermal laboratories ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,cutaneous,3.98E+15,56356,13020101,1,,,,,,,,,,
37560,doublebase emollient bath additive (dermal laboratories ltd),liquid paraffin,emollient bath additives and shower preparations,cutaneous,1.31E+16,75002,13020101,1,,,,,,,,,,
42432,oilatum shower gel fragrance free (glaxosmithkline consumer healthcare),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,1.67E+16,82320,13020101,1,,,,,,,,,,
69608,aveeno daily moisturising body cleansing oil (johnson & johnson ltd),,emollient bath additives and shower preparations,,3.42E+16,19528,13020101,1,,,,,,,,,,
45455,oilatum junior bath additive (glaxosmithkline consumer healthcare),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,1.24E+14,198063,13020101,1,,,,,,,,,,
46046,dermol wash cutaneous emulsion (dermal laboratories ltd),benzalkonium chloride/chlorhexidine hydrochloride/liquid paraffin/isopropyl myristate,emollient bath additives and shower preparations,cutaneous,1.92E+16,44953,13020101,1,,,,,,,,,,
49013,aveeno bath additive colloidal powder 50g sachets (johnson & johnson ltd),,emollient bath additives and shower preparations,route of administration not applicable,3.33E+15,112,13020101,1,,,,,,,,,,
11599,liquid paraffin light 82.8% bath additive,liquid paraffin light,emollient bath additives and shower preparations,cutaneous,8.10E+15,9849,13020101,1,,,,,,,,,,
1112,oilatum junior emmolient bath additive (stiefel laboratories (uk) ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.24E+17,213017,13020101,1,,,,,,,,,,
54181,oilatum junior bath formula (stiefel laboratories (uk) ltd),liquid paraffin light,emollient bath additives and shower preparations,cutaneous,2.59E+14,128,13020101,1,,,,,,,,,,
74052,generic eucerin atocontrol bath & shower oil,,emollient bath additives and shower preparations,cutaneous,4.28E+15,32,13020101,1,,,,,,,,,,
11621,liquid paraffin light 70% gel,liquid paraffin light,emollient bath additives and shower preparations,cutaneous,3.49E+15,8257,13020101,1,,,,,,,,,,
5193,aveeno bath oil (johnson & johnson ltd),,emollient bath additives and shower preparations,cutaneous,8.31E+14,257165,13020101,1,,,,,,,,,,
34038,e45 150ml bath additive (crookes healthcare ltd),,emollient bath additives and shower preparations,,1.32E+17,792,13020101,1,,,,,,,,,,
11388,eurax bath additive (novartis consumer health uk ltd),liquid paraffin/acetylated wool alcohols,emollient bath additives and shower preparations,topical,1.09E+16,181,13020101,1,,,,,,,,,,
40585,zerolatum plus bath additive (thornton & ross ltd),triclosan/liquid paraffin light/benzalkonium chloride,emollient bath additives and shower preparations,cutaneous,1.54E+16,873,13020101,1,,,,,,,,,,
9767,liquid paraffin with benzalkonium chloride emollient bath additive,liquid paraffin/isopropyl myristate/benzalkonium chloride,emollient bath additives and shower preparations/emollient skin preparations,topical,1.70E+17,3824,13020101/13020102,1,,,,,,,,,,
11545,liquid paraffin with benzalkonium chloride and isopropyl myristate emollient,liquid paraffin/isopropyl myristate/benzalkonium chloride,emollient bath additives and shower preparations/emollient skin preparations,topical,2.28E+17,685,13020101/13020102,1,,,,,,,,,,
67287,generic lipobase cream,,emollient cream,cutaneous,3.77E+15,43,13500200,1,,,,,,,,,,
8314,lipobase cream (astellas pharma ltd),,emollient cream,cutaneous,3.76E+15,20136,13500200,1,,,,,,,,,,
22376,allergenics skin lotion (optima consumer health ltd),,emollient cream,route of administration not applicable,7.54E+15,46,13500200,1,,,,,,,,,,
44526,zeroguent cream (thornton & ross ltd),liquid paraffin light/soya oil/white soft paraffin,emollient cream,cutaneous,1.79E+16,1552,13500200,1,,,,,,,,,,
48376,zeroaqs emollient cream (thornton & ross ltd),,emollient cream,,1.88E+16,82289,13500200,1,,,,,,,,,,
54743,generic epaderm cream,,emollient cream,,1.51E+16,289,71580100,1,,,,,,,,,,
42836,vivaderm ultra cream (scarlett & george uk ltd),,emollient cream,route of administration not applicable,1.66E+16,11,13500200,1,,,,,,,,,,
76859,generic epaderm junior cream,,emollient cream,,3.62E+16,2,71580100,1,,,,,,,,,,
39438,epaderm cream (molnlycke health care ltd),,emollient cream,,1.50E+16,564503,71580100,1,,,,,,,,,,
76001,epaderm junior cream (molnlycke health care ltd),,emollient cream,,3.62E+16,53,71580100,1,,,,,,,,,,
56534,generic zeroaqs emollient cream,,emollient cream,,1.89E+16,3,13500200,1,,,,,,,,,,
42835,vivaderm daily cream (scarlett & george uk ltd),,emollient cream,route of administration not applicable,1.66E+16,13,13500200,1,,,,,,,,,,
22375,allergenics emollient cream (optima consumer health ltd),,emollient cream,cutaneous,4.28E+15,467,71580100,1,,,,,,,,,,
64282,thirty:30 ointment (ennogen healthcare ltd),emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,1.99E+16,137,71580200,1,,,,,,,,,,
22374,allergenics intensive care ointment (optima consumer health ltd),,emollient ointment,route of administration not applicable,7.56E+15,50,13500100,1,,,,,,,,,,
6990,epaderm ointment (molnlycke health care ltd),emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,1.42E+14,937709,71580200,1,,,,,,,,,,
76220,epaderm junior ointment (molnlycke health care ltd),emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,3.62E+16,37,71580200,1,,,,,,,,,,
40758,hydromol ointment (alliance pharmaceuticals ltd),emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,4.37E+15,407190,71580200,1,,,,,,,,,,
37423,emulsifying wax 30% / yellow soft paraffin 30% ointment,emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,3.38E+15,16345,71580200,1,,,,,,,,,,
78015,emelpin ointment (vitame ltd),emulsifying wax/yellow soft paraffin,emollient ointment,cutaneous,2.85E+16,2,71580200,1,,,,,,,,,,
62012,generic qv intensive ointment,,emollient ointment,,1.78E+16,1,13500100,1,,,,,,,,,,
44667,qv intensive ointment (crawford healthcare ltd),light liquid paraffin/white soft paraffin,emollient ointment,,1.78E+16,7729,13500100,1,,,,,,,,,,
45635,flexitol skin balm (lacorium health (uk) ltd),dimeticone/urea,emollient preparation containing urea,,1.85E+16,2889,71580300,1,,,,,,,,,,
42217,white soft paraffin solid (j m loveridge ltd),white soft paraffin,emollient skin preparations,cutaneous,2.88E+15,1,13020102,1,,,,,,,,,,
43116,plant sterol emollient cream,alpha tocopheryl acetate/zinc oxide/plant extracts,emollient skin preparations,topical,2.41E+17,1,13020102,1,,,,,,,,,,
61658,moisturiser plus (skinkind ltd),,emollient skin preparations,route of administration not applicable,2.01E+16,7,13020102,1,,,,,,,,,,
70051,elave lotion (ovelle pharmaceuticals),,emollient skin preparations,,2.79E+16,6,13020102,1,,,,,,,,,,
1555,white soft paraffin 5% with liquid paraffin 4% wash,liquid paraffin/white soft paraffin,emollient skin preparations,topical,2.13E+17,840,13020102,1,,,,,,,,,,
42909,aqueous cream (thornton & ross ltd),emulsifying wax/white soft paraffin/liquid paraffin/phenoxyethanol/purified water,emollient skin preparations,cutaneous,1.04E+17,6,13020102,1,,,,,,,,,,
26339,zerobase cream (zeroderma ltd),liquid paraffin,emollient skin preparations,cutaneous,2.38E+17,10473,13020102,1,,,,,,,,,,
46613,cetaphil moisturising lotion (galderma (uk) ltd),,emollient skin preparations,route of administration not applicable,1.71E+16,1424,13020102,1,,,,,,,,,,
64637,lipikar baume ap+ lipid-replenishing balm (la roche-posay),,emollient skin preparations,,2.98E+16,145,13020102,1,,,,,,,,,,
48852,veil toning lotion and skin freshener (thomas blake cosmetic creams ltd),,emollient skin preparations,route of administration not applicable,1.87E+16,95,13020102,1,,,,,,,,,,
36656,qv skin lotion (crawford healthcare ltd),white soft paraffin,emollient skin preparations,cutaneous,2.48E+17,273,13020102,1,,,,,,,,,,
6517,urea 10% lotion,urea,emollient skin preparations,cutaneous,331532001,10122,13020102,1,,,,,,,,,,
34341,lanolin vehicle (thornton & ross ltd),magnesium sulfate dried/phenoxyethanol/wool alcohols ointment,emollient skin preparations,cutaneous,5.41E+16,1,13020102,1,,,,,,,,,,
48476,aveeno moisturising creamy oil (johnson & johnson ltd),,emollient skin preparations,cutaneous,1.83E+16,8099,13020102,1,,,,,,,,,,
49391,flexitol very dry skin 12.50% cream (laderma health (uk) ltd),urea,emollient skin preparations,,3.03E+17,13,13020102,1,,,,,,,,,,
73609,a-derma exomega emollient cream (pierre fabre dermo-cosmetique),,emollient skin preparations,,3.53E+16,1,13020102,1,,,,,,,,,,
9417,oily cream,liquid paraffin/wool alcohols/magnesium sulphate heptahydrate/hard paraffin/white soft paraffin,emollient skin preparations,topical,6.26E+16,26381,13020102,1,,,,,,,,,,
37891,eucerin intensive 10% lotion (beiersdorf uk ltd),urea,emollient skin preparations,cutaneous,3.71E+15,27983,13020102,1,,,,,,,,,,
7345,cetraben emollient cream (thornton & ross ltd),white soft paraffin/liquid paraffin light,emollient skin preparations,cutaneous,2.96E+15,1209821,13020102,1,,,,,,,,,,
56357,emulsifying ointment in water 12% (huddersfield royal infirmary),liquid paraffin/white soft paraffin/emulsifying wax,emollient skin preparations,,2.02E+17,0,13020102,1,,,,,,,,,,
58872,elena's body lotion (elena's nature collection ltd),,emollient skin preparations,route of administration not applicable,1.46E+16,3,13020102,1,,,,,,,,,,
39424,glycerol 40% cream,glycerol,emollient skin preparations,cutaneous,3.81E+15,215,13020102,1,,,,,,,,,,
41618,aqueous cream (celltech pharma europe ltd),emulsifying wax/white soft paraffin/liquid paraffin/phenoxyethanol/purified water,emollient skin preparations,cutaneous,5.89E+15,14,13020102,1,,,,,,,,,,
29910,e45 150ml cream (crookes healthcare ltd),,emollient skin preparations,,1.37E+17,301,13020102,1,,,,,,,,,,
73472,vaseline dermacare 200ml cream (elida faberge),,emollient skin preparations,,9.71E+15,4,13020102,1,,,,,,,,,,
66145,dermasalve body cream (dermasalve ltd),,emollient skin preparations,route of administration not applicable,1.03E+16,28,13020102,1,,,,,,,,,,
59324,zerodouble gel (thornton & ross ltd),isopropyl myristate/liquid paraffin,emollient skin preparations,cutaneous,2.35E+16,56778,13020102,1,,,,,,,,,,
6880,emollient with hypoallergenic lanolin and hydroxybenzoates cream,light liquid paraffin/methyl 4-hydroxybenzoate/propyl 4-hydroxybenzoate/white soft paraffin/hypoallergenic lanolin,emollient skin preparations,topical,2.11E+17,3021,13020102,1,,,,,,,,,,
47649,vaseline dermacare 100ml cream (elida faberge),,emollient skin preparations,,8.63E+16,7,13020102,1,,,,,,,,,,
9959,eumobase cream (glaxosmithkline consumer healthcare),glycerol,emollient skin preparations,cutaneous,2.37E+17,2275,13020102,1,,,,,,,,,,
1032,dermamist 10% spray (alliance pharmaceuticals ltd),white soft paraffin,emollient skin preparations,cutaneous,3.70E+15,17586,13020102,1,,,,,,,,,,
63808,avene xeracalm a.d lipid-replenishing cleansing oil (pierre fabre dermo-cosmetique),,emollient skin preparations,,2.75E+16,30,13020102,1,,,,,,,,,,
43364,evolve plus emollient spray (intelligent therapeutics ltd),liquid paraffin/white soft paraffin,emollient skin preparations,,1.71E+16,16,13020102,1,,,,,,,,,,
56402,zeroguent cream (zeroderma ltd),liquid paraffin light/soya oil/white soft paraffin,emollient skin preparations,,2.61E+17,1,13020102,1,,,,,,,,,,
68706,aproderm gel (fontus health ltd),isopropyl myristate/liquid paraffin,emollient skin preparations,cutaneous,3.36E+16,1916,13020102,1,,,,,,,,,,
6352,vaseline pure petroleum jelly (unilever uk home & personal care),white soft paraffin,emollient skin preparations,cutaneous,2.89E+15,12873,13020102,1,,,,,,,,,,
70285,elave shower gel (ovelle pharmaceuticals),,emollient skin preparations,,3.45E+16,3,13020102,1,,,,,,,,,,
23154,essential fatty acids esterified cream,essential fatty acids,emollient skin preparations,topical,7.90E+16,58,13020102,1,,,,,,,,,,
22362,emollient with chlorocresol formular 2 cream,glycerol,emollient skin preparations,topical,2.37E+17,13,13020102,1,,,,,,,,,,
