code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,Entity type,Category,Coding System (Read),medcode,desc
G580400,Congestive heart failure due to valvular disease,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,94870,Congestive heart failure due to valvular disease
G581.00,Left ventricular failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,884,Left ventricular failure
G581.11,Asthma - cardiac,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,23481,Asthma - cardiac
G581.12,Pulmonary oedema - acute,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,43618,Pulmonary oedema - acute
G581.13,Impaired left ventricular function,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,5942,Impaired left ventricular function
G581000,Acute left ventricular failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,5255,Acute left ventricular failure
G582.00,Acute heart failure,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,27964,Acute heart failure
G583.00,Heart failure with normal ejection fraction,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,101138,Heart failure with normal ejection fraction
G583.11,HFNEF - heart failure with normal ejection fraction,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,101137,HFNEF - heart failure with normal ejection fraction
G584.00,NA,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,104275,Right ventricular failure
G58z.00,Heart failure NOS,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,4024,Heart failure NOS
G58z.11,Weak heart,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,12590,Weak heart
G58z.12,Cardiac failure NOS,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,17278,Cardiac failure NOS
G5yy900,Left ventricular systolic dysfunction,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,8966,Left ventricular systolic dysfunction
G5yyA00,Left ventricular diastolic dysfunction,Read codes v2,C2024,5186,Congestive Cardiac Failure - Primary Care,PH617,1234,Congestive Cardiac Failure,Congestive cardiac failure,diagnostic,Read,12550,Left ventricular diastolic dysfunction
