readcode,medcode,readterm,Category
Eu31000,16808,"[x]bipolar affective disorder, current episode hypomanic",Not Depression - alternative diagnosis
Eu31300,16562,[X]Bipolar affect disorder cur epi mild or moderate depressn,Not Depression - alternative diagnosis
Eu31400,23713,"[X]Bipol aff disord, curr epis sev depress, no psychot symp",Not Depression - alternative diagnosis
Eu31500,4732,[X]Bipolar affect dis cur epi severe depres with psyc symp,Not Depression - alternative diagnosis
Eu31600,44693,"[x]bipolar affective disorder, current episode mixed",Not Depression - alternative diagnosis
Eu31700,27584,"[x]bipolar affective disorder, currently in remission",Not Depression - alternative diagnosis
Eu31800,104065,[x]bipolar affective disorder type i,Not Depression - alternative diagnosis
Eu31900,103915,[x]bipolar affective disorder type ii,Not Depression - alternative diagnosis
Eu31y00,53840,[x]other bipolar affective disorders,Not Depression - alternative diagnosis
Eu31y11,73924,[X]Bipolar II disorder,Not Depression - alternative diagnosis
Eu31z00,33751,"[x]bipolar affective disorder, unspecified",Not Depression - alternative diagnosis
Eu33213,29451,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",Not Depression - alternative diagnosis
Eu33312,28677,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",Not Depression - alternative diagnosis
Eu34.00,42857,[x]persistent mood affective disorders,Not Depression - alternative diagnosis
Eu34000,21540,[X]Cyclothymia,Not Depression - alternative diagnosis
Eu34011,26839,[x]affective personality disorder,Not Depression - alternative diagnosis
Eu34012,54848,[X]Cycloid personality,Not Depression - alternative diagnosis
Eu34013,23854,[X]Cyclothymic personality,Not Depression - alternative diagnosis
Eu34y00,50243,[x]other persistent mood affective disorders,Not Depression - alternative diagnosis
Eu34z00,39767,"[x]persistent mood affective disorder, unspecified",Not Depression - alternative diagnosis
Eu3y.00,28008,[x]other mood affective disorders,Not Depression - alternative diagnosis
Eu3y000,50998,[x]other single mood affective disorders,Not Depression - alternative diagnosis
Eu3y011,30688,[x]mixed affective episode,Not Depression - alternative diagnosis
Eu3y100,29921,[x]other recurrent mood affective disorders,Not Depression - alternative diagnosis
Eu3yy00,29579,[x]other specified mood affective disorders,Not Depression - alternative diagnosis
Eu3z.00,37090,[x]unspecified mood affective disorder,Not Depression - alternative diagnosis
Eu3z.11,31633,[x]affective psychosis nos,Not Depression - alternative diagnosis
ZV11100,15117,[v]personal history of affective disorder,Not Depression - alternative diagnosis
ZV11111,23963,[v]personal history of manic-depressive psychosis,Not Depression - alternative diagnosis
ZV11112,22080,[v]personal history of manic-depressive psychosis,Not Depression - alternative diagnosis
62T1.00,2923,puerperal depression,Non-definitive: Transient/ambiguous/administrative
6G00.00,18702,postnatal depression counselling,Non-definitive: Transient/ambiguous/administrative
8BK0.00,44848,depression management programme,Non-definitive: Transient/ambiguous/administrative
8CAa.00,30483,patient given advice about management of depression,Non-definitive: Transient/ambiguous/administrative
8HHq.00,32841,referral for guided self-help for depression,Non-definitive: Transient/ambiguous/administrative
9H90.00,12399,depression annual review,Non-definitive: Transient/ambiguous/administrative
9H91.00,12122,depression medication review,Non-definitive: Transient/ambiguous/administrative
9H92.00,30405,depression interim review,Non-definitive: Transient/ambiguous/administrative
9HA0.00,42931,on depression register,Non-definitive: Transient/ambiguous/administrative
9hC..00,48970,exception reporting: depression quality indicators,Non-definitive: Transient/ambiguous/administrative
9hC0.00,28970,excepted from depression quality indicators: patient unsuita,Non-definitive: Transient/ambiguous/administrative
9hC1.00,43239,excepted from depression quality indicators: informed dissen,Non-definitive: Transient/ambiguous/administrative
9k4..00,30583,depression - enhanced services administration,Non-definitive: Transient/ambiguous/administrative
9k40.00,65435,depression - enhanced service completed,Non-definitive: Transient/ambiguous/administrative
9kQ..00,96995,on full dose long term treatment depression - enh serv admin,Non-definitive: Transient/ambiguous/administrative
9Ov..00,51258,depression monitoring administration,Non-definitive: Transient/ambiguous/administrative
9Ov0.00,71009,depression monitoring first letter,Non-definitive: Transient/ambiguous/administrative
9Ov1.00,72966,depression monitoring second letter,Non-definitive: Transient/ambiguous/administrative
9Ov2.00,91105,depression monitoring third letter,Non-definitive: Transient/ambiguous/administrative
9Ov3.00,88644,depression monitoring verbal invite,Non-definitive: Transient/ambiguous/administrative
9Ov4.00,85852,depression monitoring telephone invite,Non-definitive: Transient/ambiguous/administrative
E02y300,46244,drug-induced depressive state,Non-definitive: Transient/ambiguous/administrative
E204.00,1131,neurotic depression reactive type,Non-definitive: Transient/ambiguous/administrative
E204.11,2639,postnatal depression,Non-definitive: Transient/ambiguous/administrative
E290.00,1533,brief depressive reaction,Non-definitive: Transient/ambiguous/administrative
E290z00,36246,brief depressive reaction nos,Non-definitive: Transient/ambiguous/administrative
E292.00,24212,"Adjustment reaction, predominant disturbance other emotions",Non-definitive: Transient/ambiguous/administrative
E292400,56924,adjustment reaction with anxious mood,Non-definitive: Transient/ambiguous/administrative
E292y00,48588,Adjustment reaction with mixed disturbance of emotion,Non-definitive: Transient/ambiguous/administrative
E292z00,15665,Adjustment reaction with disturbance of other emotion NOS,Non-definitive: Transient/ambiguous/administrative
E294.00,45603,Adjustment reaction with disturbance emotion and conduct,Non-definitive: Transient/ambiguous/administrative
E2B0.00,2972,postviral depression,Non-definitive: Transient/ambiguous/administrative
E2C4.00,41599,Mixed disturbance of conduct and emotion,Non-definitive: Transient/ambiguous/administrative
E2C4z00,6121,Mixed disturbance of conduct and emotion NOS,Non-definitive: Transient/ambiguous/administrative
Eu34112,10290,[x]depressive personality disorder,Non-definitive: Transient/ambiguous/administrative
Eu3y200,100211,[x]premenstrual dysphoric disorder,Non-definitive: Transient/ambiguous/administrative
Eu43.00,11098,"[x]reaction to severe stress, and adjustment disorders",Non-definitive: Transient/ambiguous/administrative
Eu43000,11607,[X]Acute stress reaction,Non-definitive: Transient/ambiguous/administrative
Eu43012,10535,[X]Acute reaction to stress,Non-definitive: Transient/ambiguous/administrative
Eu43200,11336,[x]adjustment disorders,Non-definitive: Transient/ambiguous/administrative
Eu43y00,21753,[X]Other reactions to severe stress,Non-definitive: Transient/ambiguous/administrative
Eu43z00,31515,"[X]Reaction to severe stress, unspecified",Non-definitive: Transient/ambiguous/administrative
Eu53011,13307,[x]postnatal depression nos,Non-definitive: Transient/ambiguous/administrative
Eu53012,4979,[x]postpartum depression nos,Non-definitive: Transient/ambiguous/administrative
Eu92000,32845,[x]depressive conduct disorder,Non-definitive: Transient/ambiguous/administrative
R007z13,29527,[d]postoperative depression,Non-definitive: Transient/ambiguous/administrative
2257,1908,O/E - depressed,Symptom
1B17.00,1996,Depressed,Symptom
1B17.11,4824,C/O - feeling depressed,Symptom
1B17.12,2930,C/O - feeling unhappy,Symptom
1B1J.00,1449,Emotional problem,Symptom
1B1J.11,3502,Emotional upset,Symptom
1B1N.00,2147,Poor self esteem,Symptom
1B1U.00,9796,symptoms of depression,Symptom
1B1U.11,10438,depressive symptoms,Symptom
1BI..00,21124,Blunted affect,Symptom
1BJ..00,7412,Loss of confidence,Symptom
1BO..00,6021,mood swings,Symptom
1BP..00,30740,Loss of interest,Symptom
1BP0.00,59869,Loss of interest in previously enjoyable activity,Symptom
1BQ..00,25435,Loss of capacity for enjoyment,Symptom
1BT..00,10015,depressed mood,Symptom
1BT..11,8928,low mood,Symptom
1BT..12,26028,sad mood,Symptom
1BU..00,53148,Loss of hope for the future,Symptom
1JJ..00,100977,suspected depression,Symptom
1S40.00,48349,dysphoric mood,Symptom
