readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
B676.00,110838,acute erythroid leukaemia,C94,,,,,,,,1,,,,,,,
B677.00,104273,myelodysplastic and myeloproliferative disease,C94,,,,,,,,1,,,,,,,
B67y.00,94174,other and unspecified leukaemia,C95,,,,,,,,1,,,,,,,
B67y000,72197,lymphosarcoma cell leukaemia,C94,,,,,,,,1,,,,,,,
B67yz00,99413,other and unspecified leukaemia nos,C95,,,,,,,,1,,,,,,,
B67z.00,30632,other specified leukaemia nos,C94,,,,,,,,1,,,,,,,
B68..00,25191,leukaemia of unspecified cell type,C95,,,,,,,,1,,,,,,,
B680.00,4072,acute leukaemia nos,C95,,,,,,,,1,,,,,,,
B681.00,16416,chronic leukaemia nos,C95,,,,,,,,1,,,,,,,
B682.00,54793,subacute leukaemia nos,C95,,,,,,,,1,,,,,,,
B68y.00,34692,other leukaemia of unspecified cell type,C95,,,,,,,,1,,,,,,,
B68z.00,4250,leukaemia nos,C95,,,,,,,,1,,,,,,,
B69..00,20440,myelomonocytic leukaemia,C92,,,,,,,,1,,,,,,,
B690.00,61500,acute myelomonocytic leukaemia,C92,,,,,,,,1,,,,,,,
B691.00,22050,chronic myelomonocytic leukaemia,C92,,,,,,,,1,,,,,,,
B692.00,104475,subacute myelomonocytic leukaemia,C93,,,,,,,,1,,,,,,,
B693.00,105069,juvenile myelomonocytic leukaemia,C93,,,,,,,,1,,,,,,,
B6y1.12,110065,osteomyelofibrosis,C94,,,,,,,,1,,,,,,,
BBr..00,4637,[m]leukaemias,C95,,,,,,,,1,,,,,,,
BBr0.00,40420,[m]leukaemias unspecified,C95,,,,,,,,1,,,,,,,
BBr0000,41734,[m]leukaemia nos,C95,,,,,,,,1,,,,,,,
BBr0100,6316,[m]acute leukaemia nos,C95,,,,,,,,1,,,,,,,
BBr0111,22071,[m]blast cell leukaemia,C95,,,,,,,,1,,,,,,,
BBr0112,64963,[m]blastic leukaemia,C95,,,,,,,,1,,,,,,,
BBr0113,63570,[m]stem cell leukaemia,C95,,,,,,,,1,,,,,,,
BBr0200,72179,[m]subacute leukaemia nos,C95,,,,,,,,1,,,,,,,
BBr0300,31750,[m]chronic leukaemia nos,C95,,,,,,,,1,,,,,,,
BBr0400,72310,[m]aleukaemic leukaemia nos,C95,,,,,,,,1,,,,,,,
BBr0z00,59929,"[m]leukaemia unspecified, nos",C95,,,,,,,,1,,,,,,,
BBr2.00,48155,[m]lymphoid leukaemias,C91,,,,,,,,1,,,,,,,
BBr2000,12146,[m]lymphoid leukaemia nos,C91,,,,,,,,1,,,,,,,
BBr2011,20635,[m]lymphatic leukaemia,C91,,,,,,,,1,,,,,,,
BBr2100,37410,[m]acute lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
BBr2300,41500,[m]chronic lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
BBr2500,46048,[m]prolymphocytic leukaemia,C91,,,,,,,,1,,,,,,,
BBr2600,50928,[m]burkitt's cell leukaemia,C91,,,,,,,,1,,,,,,,
BBr2700,29335,[m]adult t-cell leukaemia/lymphoma,C91,,,,,,,,1,,,,,,,
BBr4.00,46444,[m]erythroleukaemias,C94,,,,,,,,1,,,,,,,
BBr4000,70935,[m]erythroleukaemia,C94,,,,,,,,1,,,,,,,
BBr4z00,100927,[m]erythroleukaemia nos,C94,,,,,,,,1,,,,,,,
BBr6.00,35697,[m]myeloid leukaemias,C92,,,,,,,,1,,,,,,,
BBr6000,71850,[m]myeloid leukaemia nos,C92,,,,,,,,1,,,,,,,
BBr6011,37723,[m]granulocytic leukaemia nos,C92,,,,,,,,1,,,,,,,
BBr6012,24317,[m]myelosis nos,C95,,,,,,,,1,,,,,,,
BBr6100,54585,[m]acute myeloid leukaemia,C92,,,,,,,,1,,,,,,,
BBr6200,106483,[m]subacute myeloid leukaemia,C92,,,,,,,,1,,,,,,,
BBr6300,52942,[m]chronic myeloid leukaemia,C92,,,,,,,,1,,,,,,,
BBr6311,66694,[m]naegeli-type monocytic leukaemia,C93,,,,,,,,1,,,,,,,
BBr6600,57316,[m]acute promyelocytic leukaemia,C92,,,,,,,,1,,,,,,,
BBr6700,46263,[m]acute myelomonocytic leukaemia,C92,,,,,,,,1,,,,,,,
BBr6800,48049,[m]chronic myelomonocytic leukaemia,C92,,,,,,,,1,,,,,,,
BBr6900,108964,[m]juvenile myelomonocytic leukaemia,C93,,,,,,,,1,,,,,,,
BBr6z00,62330,[m]other myeloid leukaemia nos,C92,,,,,,,,1,,,,,,,
BBr7000,106197,[m]basophilic leukaemia,C92,,,,,,,,1,,,,,,,
BBr8.00,57713,[m]eosinophilic leukaemias,C95,,,,,,,,1,,,,,,,
BBr8000,71377,[m]eosinophilic leukaemia,C92,,,,,,,,1,,,,,,,
BBr8z00,107773,[m]eosinophilic leukaemia nos,C92,,,,,,,,1,,,,,,,
BBr9000,73088,[m]monocytic leukaemia nos,C93,,,,,,,,1,,,,,,,
BBrA.00,73066,[m]miscellaneous leukaemias,C95,,,,,,,,1,,,,,,,
BBrA100,72222,[m]megakaryocytic leukaemia,C94,,,,,,,,1,,,,,,,
BBrA111,69299,[m]thrombocytic leukaemia,C94,,,,,,,,1,,,,,,,
BBrA300,96893,[m]myeloid sarcoma,C92,,,,,,,,1,,,,,,,
BBrA311,93944,[m]chloroma,C92,,,,,,,,1,,,,,,,
BBrA312,98009,[m]granulocytic sarcoma,C92,,,,,,,,1,,,,,,,
BBrA400,5915,[m]hairy cell leukaemia,C91,,,,,,,,1,,,,,,,
BBrA500,49327,[m]acute megakaryoblastic leukaemia,C94,,,,,,,,1,,,,,,,
BBrA600,102764,[m]acute panmyelosis,C94,,,,,,,,1,,,,,,,
BBrA700,37487,[m]acute myelofibrosis,C94,,,,,,,,1,,,,,,,
BBrAz00,108316,[m]miscellaneous leukaemia nos,C95,,,,,,,,1,,,,,,,
BBrz.00,42297,[m]leukaemia nos,C95,,,,,,,,1,,,,,,,
BBs1.00,101271,[m]acute panmyelosis,C94,,,,,,,,1,,,,,,,
ByuD500,67029,[x]other lymphoid leukaemia,C91,,,,,,,,1,,,,,,,
ByuD600,61693,[x]other myeloid leukaemia,C92,,,,,,,,1,,,,,,,
ByuD700,89762,[x]other monocytic leukaemia,C93,,,,,,,,1,,,,,,,
ByuD800,89329,[x]other specified leukaemias,C94,,,,,,,,1,,,,,,,
ByuD900,65165,[x]other leukaemia of unspecified cell type,C95,,,,,,,,1,,,,,,,
