phenotype_name,medcode,ReadcodeDescr,Readcode
Peptic ulcer disease,48946,Chronic gastric ulcer without mention of complication,J111000
Peptic ulcer disease,48951,Chronic duodenal ulcer with haemorrhage,J121100
Peptic ulcer disease,50048,Acute peptic ulcer NOS,J130z00
Peptic ulcer disease,50497,Unspecified peptic ulcer,J13y.00
Peptic ulcer disease,51406,Chronic duodenal ulcer NOS,J121z00
Peptic ulcer disease,52138,Chronic duodenal ulcer unspecified,J121y00
Peptic ulcer disease,52313,Chronic peptic ulcer with obstruction,J131400
Peptic ulcer disease,52323,Multiple gastric ulcers,J11z.12
Peptic ulcer disease,53081,Unspecified gastric ulcer,J11y.00
Peptic ulcer disease,53126,Chronic peptic ulcer with haemorrhage,J131100
Peptic ulcer disease,53336,Chronic gastric ulcer with perforation,J111200
Peptic ulcer disease,53669,Unspecified duodenal ulcer,J12y.00
Peptic ulcer disease,53797,Acute duodenal ulcer NOS,J120z00
Peptic ulcer disease,53822,Acute duodenal ulcer unspecified,J120y00
Peptic ulcer disease,5521,Acute peptic ulcer with perforation,J130200
Peptic ulcer disease,55350,Oversew of blood vessel of duodenal ulcer,7627200.0
Peptic ulcer disease,55933,Operation on duodenal ulcer NOS,7627z00
Peptic ulcer disease,56005,Other specified operation on duodenal ulcer,7627y00
Peptic ulcer disease,57958,Unspecified gastric ulcer with haemorrhage,J11y100
Peptic ulcer disease,5928,Operations on duodenal ulcer,7627.00
Peptic ulcer disease,60249,Unspecified peptic ulcer NOS,J13yz00
Peptic ulcer disease,60346,Unspecified gastrojejunal ulcer with haemorrhage,J14y100
Peptic ulcer disease,63001,Anti-platelet induced gastric ulcer,J112.00
Peptic ulcer disease,6321,H/O: duodenal ulcer,14C1.11
Peptic ulcer disease,6333,Prepyloric ulcer,J11..11
Peptic ulcer disease,63482,Unspecified gastrojejunal ulcer,J14y.00
Peptic ulcer disease,63582,Chronic gastric ulcer with haemorrhage,J111100
Peptic ulcer disease,63718,Endoscopic injection haemostasis of gastric ulcer,761D600
Peptic ulcer disease,64014,Closure of gastric ulcer NEC,761J100
Peptic ulcer disease,64111,Unspecified peptic ulcer with perforation,J13y200
Peptic ulcer disease,64165,Acute gastric ulcer without mention of complication,J110000
Peptic ulcer disease,64556,Chronic gastric ulcer unspecified,J111y00
Peptic ulcer disease,64710,Resection of gastric ulcer by cautery,7612500.0
Peptic ulcer disease,64913,Gastrocolic ulcer,J14..12
Peptic ulcer disease,657,Unspecified duodenal ulcer with perforation,J12y200
Peptic ulcer disease,65737,Unspecified duodenal ulcer NOS,J12yz00
Peptic ulcer disease,66092,Unspecified gastrojejunal ulcer NOS,J14yz00
Peptic ulcer disease,670,Peptic ulcer - (PU) site unspecified,J13..00
Peptic ulcer disease,67082,Unspecified peptic ulcer without mention of complication,J13y000
Peptic ulcer disease,67356,Chronic gastric ulcer with obstruction,J111400
Peptic ulcer disease,67711,Acute peptic ulcer unspecified,J130y00
Peptic ulcer disease,6865,Stomach ulcer operations,761J.11
Peptic ulcer disease,68661,Acute peptic ulcer without mention of complication,J130000
Peptic ulcer disease,69663,Chronic peptic ulcer NOS,J131z00
Peptic ulcer disease,70005,Suture of ulcer of stomach NEC,761J111
Peptic ulcer disease,70390,Chronic peptic ulcer unspecified,J131y00
Peptic ulcer disease,70456,Unspecified peptic ulcer with haemorrhage,J13y100
Peptic ulcer disease,7108,H/O: gastric ulcer,14C1.12
Peptic ulcer disease,71150,Unspecified duodenal ulcer without mention of complication,J12y000
Peptic ulcer disease,71403,Acute gastric ulcer with haemorrhage and perforation,J110300
Peptic ulcer disease,71881,Chronic duodenal ulcer with haemorrhage and perforation,J121300
Peptic ulcer disease,71897,Chronic gastric ulcer with haemorrhage and perforation,J111300
Peptic ulcer disease,71904,Unspecified duodenal ulcer with obstruction,J12y400
Peptic ulcer disease,73338,Unspecified gastric ulcer without mention of complication,J11y000
Peptic ulcer disease,73417,Acute duodenal ulcer with obstruction,J120400
Peptic ulcer disease,73697,Unspecified gastric ulcer with obstruction,J11y400
Peptic ulcer disease,85989,Non steroidal anti inflammatory drug induced duodenal ulcer,J126.00
Peptic ulcer disease,89023,Non steroidal anti inflammatory drug induced gastric ulcer,J113.00
Peptic ulcer disease,89227,Anti-platelet induced gastric ulcer NOS,J112z00
Peptic ulcer disease,89234,Anti-platelet induced duodenal ulcer,J125.00
Peptic ulcer disease,92695,Balfour excision of gastric ulcer,7612111.0
Peptic ulcer disease,93436,Unspecified duodenal ulcer with haemorrhage and perforation,J12y300
Peptic ulcer disease,94104,Other specified operation on gastric ulcer,761Jy00
Peptic ulcer disease,94397,Unspec gastric ulcer; unspec haemorrhage and/or perforation,J11yy00
Peptic ulcer disease,96090,Chronic gastrojejunal ulcer,J141.00
Peptic ulcer disease,96622,Unspecified peptic ulcer with haemorrhage and perforation,J13y300
Peptic ulcer disease,96628,Acute gastrojejunal ulcer with haemorrhage,J140100
Peptic ulcer disease,97993,Non steroidal anti inflammatory drug induced gastric ulc NOS,J113z00
Peptic ulcer disease,9853,Chronic duodenal ulcer,J121.00
Peptic ulcer disease,99430,Chronic peptic ulcer without mention of complication,J131000
Peptic ulcer disease,99670,Unspecified peptic ulcer with obstruction,J13y400
Peptic ulcer disease,9981,Jejunal ulcer,J14..13
