readcode,medcode,readterm,icdcode,ca_lung,ca_breast,ca_prostate,ca_pancreas,ca_melanoma,ca_non_melanoma,ca_mm,ca_leukaemia,ca_meningioma,ca_glioma,ca_CNSother,ca_cns,ca_nhl,ca_hodgkins,ca_lymphomaNonCut
B325500,95629,malignant melanoma of perineum,C43,,,,,1,,,,,,,,,,
B325600,43715,malignant melanoma of umbilicus,C43,,,,,1,,,,,,,,,,
B325700,43463,malignant melanoma of back,C43,,,,,1,,,,,,,,,,
B325800,51209,malignant melanoma of chest wall,C43,,,,,1,,,,,,,,,,
B325z00,45760,"malignant melanoma of trunk, excluding scrotum, nos",C43,,,,,1,,,,,,,,,,
B326.00,65164,malignant melanoma of upper limb and shoulder,C43,,,,,1,,,,,,,,,,
B326000,50505,malignant melanoma of shoulder,C43,,,,,1,,,,,,,,,,
B326100,54685,malignant melanoma of upper arm,C43,,,,,1,,,,,,,,,,
B326200,45755,malignant melanoma of fore-arm,C43,,,,,1,,,,,,,,,,
B326300,62475,malignant melanoma of hand,C43,,,,,1,,,,,,,,,,
B326400,25602,malignant melanoma of finger,C43,,,,,1,,,,,,,,,,
B326500,63997,malignant melanoma of thumb,C43,,,,,1,,,,,,,,,,
B326z00,55292,malignant melanoma of upper limb or shoulder nos,C43,,,,,1,,,,,,,,,,
B327.00,46255,malignant melanoma of lower limb and hip,C43,,,,,1,,,,,,,,,,
B327000,73536,malignant melanoma of hip,C43,,,,,1,,,,,,,,,,
B327100,51873,malignant melanoma of thigh,C43,,,,,1,,,,,,,,,,
B327200,54305,malignant melanoma of knee,C43,,,,,1,,,,,,,,,,
B327300,39878,malignant melanoma of popliteal fossa area,C43,,,,,1,,,,,,,,,,
B327400,37872,malignant melanoma of lower leg,C43,,,,,1,,,,,,,,,,
B327500,42714,malignant melanoma of ankle,C43,,,,,1,,,,,,,,,,
B327600,61246,malignant melanoma of heel,C43,,,,,1,,,,,,,,,,
B327700,41490,malignant melanoma of foot,C43,,,,,1,,,,,,,,,,
B327800,36899,malignant melanoma of toe,C43,,,,,1,,,,,,,,,,
B327900,53369,malignant melanoma of great toe,C43,,,,,1,,,,,,,,,,
B327z00,64327,malignant melanoma of lower limb or hip nos,C43,,,,,1,,,,,,,,,,
B328.00,111079,malignant melanoma stage ia,C43,,,,,1,,,,,,,,,,
B329.00,109827,malignant melanoma stage ib,C43,,,,,1,,,,,,,,,,
B32A.00,110139,malignant melanoma stage iia,C43,,,,,1,,,,,,,,,,
B32B.00,110180,malignant melanoma stage iib,C43,,,,,1,,,,,,,,,,
B32C.00,111413,malignant melanoma stage iic,C43,,,,,1,,,,,,,,,,
B32D.00,111672,malignant melanoma stage iiia,C43,,,,,1,,,,,,,,,,
B32F.00,110961,malignant melanoma stage iiic,C43,,,,,1,,,,,,,,,,
B32G.00,109745,malignant melanoma stage iv m1a,C43,,,,,1,,,,,,,,,,
B32H.00,110483,malignant melanoma stage iv m1b,C43,,,,,1,,,,,,,,,,
B32J.00,111162,malignant melanoma stage iv m1c,C43,,,,,1,,,,,,,,,,
B32y.00,42153,malignant melanoma of other specified skin site,C43,,,,,1,,,,,,,,,,
B32y000,96585,overlapping malignant melanoma of skin,C43,,,,,1,,,,,,,,,,
B32z.00,28556,malignant melanoma of skin nos,C43,,,,,1,,,,,,,,,,
B509.00,108363,malignant melanoma of eye,C43,,,,,1,,,,,,,,,,
BBE1.00,579,[m]malignant melanoma nos,C43,,,,,1,,,,,,,,,,
BBE1.11,24551,[m]melanocarcinoma,C43,,,,,1,,,,,,,,,,
BBE1.13,44157,[m]melanosarcoma nos,C43,,,,,1,,,,,,,,,,
BBE1.14,67966,[m]naevocarcinoma,C43,,,,,1,,,,,,,,,,
BBE1000,51353,"[m]malignant melanoma, regressing",C43,,,,,1,,,,,,,,,,
BBE1100,58835,"[m]desmoplastic melanoma, malignant",C43,,,,,1,,,,,,,,,,
BBE2.00,20982,[m]nodular melanoma,C43,,,,,1,,,,,,,,,,
BBE4.00,68889,[m]balloon cell melanoma,C43,,,,,1,,,,,,,,,,
BBEA.00,17232,[m]amelanotic melanoma,C43,,,,,1,,,,,,,,,,
BBEC.00,63574,[m]malignant melanoma in junctional naevus,C43,,,,,1,,,,,,,,,,
BBEG.00,62088,[m]malignant melanoma in hutchinson's melanotic freckle,C43,,,,,1,,,,,,,,,,
BBEG.11,11922,[m]lentigo maligna melanoma,C43,,,,,1,,,,,,,,,,
BBEG000,22692,"[m]acral lentiginous melanoma, malignant",C43,,,,,1,,,,,,,,,,
BBEH.00,24208,[m]superficial spreading melanoma,C43,,,,,1,,,,,,,,,,
BBEM.00,73251,[m]malignant melanoma in giant pigmented naevus,C43,,,,,1,,,,,,,,,,
BBEP.00,23085,[m]epithelioid cell melanoma,C43,,,,,1,,,,,,,,,,
BBEQ.00,44061,[m]spindle cell melanoma nos,C43,,,,,1,,,,,,,,,,
Byu4.00,19144,[x]melanoma and other malignant neoplasms of skin,C43 C44,,,,,1,1,,,,,,,,,
Byu4000,56925,[x]malignant melanoma of other+unspecified parts of face,C43,,,,,1,,,,,,,,,,
Byu4100,19444,"[x]malignant melanoma of skin, unspecified",C43,,,,,1,,,,,,,,,,
